"Internal Sample Size","External Sample Size","Coefficient Name","Method","True Value","Avg Estimate","Empirical Standard Error","Empirical Relative Efficiency","Analytical Standard Error","Analytical Relative Efficiency","rMSE","Coverage (95% Nominal)","# Tilt Warnings"
400,100,"Slope","P-WCLS-Internal",5,5.036,1.555,1.001,1.571,0.995,1.555,0.968,0
400,100,"Slope","P-WCLS-Pooled",5,5.044,1.498,1.04,1.457,1.073,1.498,0.955,0
400,100,"Slope","P-WCLS-Pooled-Obs",5,5.05,1.465,1.063,1.546,1.012,1.466,0.97,0
400,100,"Slope","ET-WCLS-Equal",5,5.331,4.171,0.373,2.845,0.55,4.184,0.86,4
400,100,"Slope","ET-WCLS-Kron",5,5.122,1.841,0.846,1.585,0.987,1.845,0.93,4
400,100,"Slope","ET-WCLS",5,5.144,1.546,1.007,1.384,1.13,1.553,0.925,4
400,100,"Slope","DR-WCLS",5,5.141,1.525,1.021,1.414,1.106,1.531,0.935,4
400,100,"Slope","PET-WCLS",5,5.151,1.373,1.134,1.266,1.235,1.382,0.92,4
1600,100,"Intercept","WCLS-Internal",-2,-2.017,0.85,1,0.76,1,0.85,0.925,0
1600,100,"Intercept","WCLS-Pooled",-2,-1.843,0.808,1.052,0.726,1.047,0.824,0.95,0
1600,100,"Intercept","P-WCLS-Internal",-2,-2.018,0.853,0.996,0.765,0.994,0.853,0.925,0
1600,100,"Intercept","P-WCLS-Pooled",-2,-2.014,0.853,0.996,0.759,1.002,0.853,0.922,0
1600,100,"Intercept","P-WCLS-Pooled-Obs",-2,-2.013,0.856,0.993,0.762,0.998,0.856,0.925,0
1600,100,"Intercept","ET-WCLS-Equal",-2,-2.725,4.309,0.197,2.919,0.26,4.369,0.87,21
1600,100,"Intercept","ET-WCLS-Kron",-2,-2.12,0.849,1.002,0.775,0.981,0.857,0.925,21
1600,100,"Intercept","ET-WCLS",-2,-2.128,0.794,1.071,0.725,1.048,0.804,0.925,21
1600,100,"Intercept","DR-WCLS",-2,-2.101,0.791,1.075,0.734,1.035,0.797,0.92,21
1600,100,"Intercept","PET-WCLS",-2,-2.142,0.731,1.162,0.691,1.101,0.745,0.915,21
1600,100,"Slope","WCLS-Internal",5,4.99,0.803,1,0.833,1,0.804,0.965,0
1600,100,"Slope","WCLS-Pooled",5,4.816,0.767,1.047,0.793,1.05,0.789,0.97,0
1600,100,"Slope","P-WCLS-Internal",5,4.991,0.805,0.998,0.835,0.998,0.805,0.965,0
1600,100,"Slope","P-WCLS-Pooled",5,4.988,0.795,1.01,0.819,1.017,0.795,0.968,0
1600,100,"Slope","P-WCLS-Pooled-Obs",5,4.987,0.786,1.022,0.863,0.965,0.787,0.985,0
1600,100,"Slope","ET-WCLS-Equal",5,5.481,4.488,0.179,3.27,0.255,4.514,0.853,21
1600,100,"Slope","ET-WCLS-Kron",5,5.05,0.914,0.88,0.874,0.953,0.915,0.948,21
1600,100,"Slope","ET-WCLS",5,5.015,0.779,1.031,0.794,1.049,0.779,0.95,21
1600,100,"Slope","DR-WCLS",5,5.024,0.763,1.052,0.801,1.039,0.764,0.96,21
1600,100,"Slope","PET-WCLS",5,5.018,0.725,1.108,0.758,1.099,0.725,0.958,21
6400,100,"Intercept","WCLS-Internal",-2,-1.996,0.403,1,0.383,1,0.403,0.968,0
6400,100,"Intercept","WCLS-Pooled",-2,-1.948,0.402,1.004,0.379,1.011,0.405,0.958,0
6400,100,"Intercept","P-WCLS-Internal",-2,-1.997,0.405,0.996,0.386,0.993,0.405,0.963,0
6400,100,"Intercept","P-WCLS-Pooled",-2,-1.996,0.405,0.996,0.384,0.998,0.405,0.955,0
6400,100,"Intercept","P-WCLS-Pooled-Obs",-2,-1.996,0.404,0.997,0.384,0.997,0.404,0.953,0
6400,100,"Intercept","ET-WCLS-Equal",-2,-2.674,4.801,0.084,2.871,0.133,4.849,0.877,43
6400,100,"Intercept","ET-WCLS-Kron",-2,-2.023,0.41,0.984,0.388,0.988,0.411,0.953,43
6400,100,"Intercept","ET-WCLS",-2,-2.02,0.398,1.012,0.379,1.01,0.399,0.95,43
6400,100,"Intercept","DR-WCLS",-2,-2.014,0.407,0.992,0.382,1.003,0.407,0.955,43
