"Internal Sample Size","External Sample Size","Coefficient Name","Method","True Value","Avg Estimate","Empirical Standard Error","Empirical Relative Efficiency","Analytical Standard Error","Analytical Relative Efficiency","rMSE","Coverage (95% Nominal)","# Tilt Warnings"
1600,100,"Intercept","DR-WCLS",-2,-2.824,0.056,0.831,0.647,1.005,0.826,1,0
1600,100,"Intercept","PET-WCLS",-2,-2.774,0.128,0.36,0.628,1.035,0.784,1,0
1600,100,"Slope","WCLS-Internal",5,5.266,0.168,1,0.684,1,0.314,1,0
1600,100,"Slope","WCLS-Pooled",5,4.971,0.17,0.987,0.655,1.045,0.172,1,0
1600,100,"Slope","P-WCLS-Internal",5,5.273,0.178,0.94,0.688,0.994,0.326,1,0
1600,100,"Slope","P-WCLS-Pooled",5,5.18,0.145,1.153,0.676,1.013,0.232,1,0
1600,100,"Slope","P-WCLS-Pooled-Obs",5,5.065,0.331,0.506,0.719,0.952,0.338,1,0
1600,100,"Slope","ET-WCLS-Equal",5,-2.279,0.303,0.554,3.147,0.217,7.285,0,0
1600,100,"Slope","ET-WCLS-Kron",5,4.713,0.449,0.373,0.697,0.981,0.533,1,0
1600,100,"Slope","ET-WCLS",5,5.02,0.212,0.793,0.678,1.009,0.213,1,0
1600,100,"Slope","DR-WCLS",5,5.166,0.246,0.683,0.687,0.997,0.296,1,0
1600,100,"Slope","PET-WCLS",5,5.243,0.249,0.674,0.669,1.024,0.348,1,0
6400,100,"Intercept","WCLS-Internal",-2,-2.216,0.345,1,0.38,1,0.407,1,0
6400,100,"Intercept","WCLS-Pooled",-2,-2.159,0.334,1.032,0.375,1.012,0.37,1,0
6400,100,"Intercept","P-WCLS-Internal",-2,-2.229,0.351,0.984,0.383,0.994,0.419,1,0
6400,100,"Intercept","P-WCLS-Pooled",-2,-2.223,0.349,0.989,0.378,1.004,0.414,1,0
6400,100,"Intercept","P-WCLS-Pooled-Obs",-2,-2.222,0.349,0.99,0.377,1.007,0.413,1,0
6400,100,"Intercept","ET-WCLS-Equal",-2,-8.93,5.439,0.063,4.916,0.077,8.81,1,1
6400,100,"Intercept","ET-WCLS-Kron",-2,-2.257,0.345,0.999,0.379,1.002,0.43,1,1
6400,100,"Intercept","ET-WCLS",-2,-2.234,0.335,1.03,0.379,1.003,0.409,1,1
6400,100,"Intercept","DR-WCLS",-2,-2.241,0.339,1.019,0.381,0.997,0.415,1,1
6400,100,"Intercept","PET-WCLS",-2,-2.241,0.302,1.142,0.372,1.021,0.386,1,1
6400,100,"Slope","WCLS-Internal",5,5.495,0.334,1,0.426,1,0.597,0.5,0
6400,100,"Slope","WCLS-Pooled",5,5.468,0.344,0.971,0.421,1.013,0.58,0.5,0
6400,100,"Slope","P-WCLS-Internal",5,5.482,0.336,0.994,0.425,1.003,0.587,0.5,0
6400,100,"Slope","P-WCLS-Pooled",5,5.501,0.352,0.947,0.423,1.008,0.612,0.5,0
6400,100,"Slope","P-WCLS-Pooled-Obs",5,5.514,0.302,1.105,0.438,0.974,0.596,0.5,0
6400,100,"Slope","ET-WCLS-Equal",5,10.184,4.22,0.079,2.724,0.156,6.684,0.5,1
6400,100,"Slope","ET-WCLS-Kron",5,5.52,0.338,0.986,0.423,1.007,0.62,0.5,1
